era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2018,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,v3BDT1tau2lV18_fakeTauDataDriven,1tau2l,438,73,91,146,128,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
2017,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,v3BDT1tau2lV18_fakeTauDataDriven,1tau2l,437,73,100,146,118,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
2017,v0baselineHardro_v80addTauJetVar,v1dataMC_allCorrectionFakeTau,unknown,433,51,0,102,280,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHardro_v80addTauJetVar/mc/variableHists_v1dataMC_allCorrectionFakeTau
2018,v0baselineHadro_newFRBinA_v94HadroPreJetVetoHemOnly,v1dataMC_fakeTauDataDriven_ptMorphed1tau1l,1tau1l,427,86,90,172,79,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_newFRBinA_v94HadroPreJetVetoHemOnly/mc/variableHists_v1dataMC_fakeTauDataDriven_ptMorphed1tau1l
2018,v0baselineHadroV2_v88PSWeightFixedHadroPre,v0BDT1tau1l,1tau1l,427,84,88,168,87,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadroV2_v88PSWeightFixedHadroPre/mc/variableHists_v0BDT1tau1l
2018,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v3BDT1tau2lV18_fakeTauDataDriven,1tau2l,426,73,91,146,116,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
2016preVFP,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,426,71,103,142,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
2016preVFP,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v0BDT1tau2lV16,1tau2l,426,71,103,142,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v0BDT1tau2lV16
2017,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,421,71,98,142,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
2017,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v0BDT1tau2lV16,1tau2l,421,71,98,142,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v0BDT1tau2lV16
2017,v0baselineLep_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,421,71,98,142,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineLep_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
2017,v0NewHLTSFHT550BinF_v64PreAndHLTSel,v0_HLTSFMeasure_6thJet40HT550BinF,unknown,416,30,0,60,326,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0NewHLTSFHT550BinF_v64PreAndHLTSel/mc/variableHists_v0_HLTSFMeasure_6thJet40HT550BinF
2018,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly,v3BDT1tau2lV14,1tau2l,415,71,89,142,113,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnly/mc/variableHists_v3BDT1tau2lV14
